,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
28,1.83002854717e-07,450,4.39302195733e-09,7.30943251998e-08,1.0551550756e-07
29,1.62637197646e-07,460,3.70333465612e-09,6.51185277934e-08,9.38153351969e-08
30,1.4296806955e-07,470,3.09504354397e-09,5.74457326115e-08,8.24272933946e-08
31,1.25462031306e-07,480,2.58386285603e-09,5.05649188455e-08,7.23132496048e-08
32,1.14241815591e-07,490,2.29805409237e-09,4.73651015533e-08,6.45786599453e-08
33,1.07123426922e-07,500,2.060522443e-09,4.46830008824e-08,6.03799035969e-08
34,9.61785230652e-08,510,1.77027245854e-09,4.0349484686e-08,5.40587659207e-08
35,8.07659088317e-08,520,1.4154667722e-09,3.38776533458e-08,4.54727887138e-08
36,6.73981342828e-08,530,1.13000522087e-09,2.83732113344e-08,3.78949177276e-08
37,5.65075998841e-08,540,8.99407640818e-10,2.36707793026e-08,3.19374129407e-08
38,4.82891574763e-08,550,7.3935919158e-10,2.03782564257e-08,2.71715418591e-08
39,3.65348230317e-08,560,5.48728549131e-10,1.58257979015e-08,2.0160296581e-08
40,5.75425414005e-08,570,8.19126449897e-10,2.47006906151e-08,3.20227243356e-08
41,5.71124459667e-08,580,7.86642721342e-10,2.4782853325e-08,3.15429499204e-08
42,3.70114670587e-08,590,4.45426547396e-10,1.46501614894e-08,2.19158790219e-08
43,3.06384552178e-08,600,3.45667159502e-10,1.1860545616e-08,1.84322424423e-08
44,2.85427951436e-08,610,3.10906550517e-10,1.1121275721e-08,1.71106128721e-08
45,2.67609016606e-08,620,2.74492476497e-10,1.02291862762e-08,1.62572229079e-08
46,2.33027296301e-08,630,2.30932820426e-10,8.95981869968e-09,1.411197811e-08
47,2.06181875841e-08,640,1.95425933328e-10,7.88904714311e-09,1.25337145077e-08
48,1.78676923239e-08,650,1.64905711924e-10,6.92215267637e-09,1.07806339356e-08
49,1.59772247728e-08,660,1.40377328324e-10,6.12361609801e-09,9.7132313465e-09
50,1.5004231926e-08,670,1.30881137177e-10,5.92984914202e-09,8.94350164682e-09
51,1.40783474411e-08,680,1.17946738007e-10,5.54709466716e-09,8.41330603598e-09
52,1.30526565492e-08,690,1.05306348077e-10,5.1382088497e-09,7.80914135145e-09
53,1.20489082361e-08,700,9.57438508588e-11,4.84414225618e-09,7.10902212907e-09
54,1.05606740135e-08,710,8.1186166776e-11,4.25710659832e-09,6.22238124836e-09
55,8.28308394188e-09,720,6.22114082814e-11,3.37919218509e-09,4.84168034851e-09
56,7.27033635149e-09,730,5.24844587822e-11,2.95171053049e-09,4.26614136222e-09
57,6.72216257654e-09,740,4.67619580953e-11,2.72164459912e-09,3.95375601933e-09
58,6.82250430583e-09,750,4.59463250227e-11,2.76621639854e-09,4.01034158227e-09
59,6.48828327507e-09,760,4.18097763272e-11,2.60265181309e-09,3.84382168565e-09
60,5.74207522226e-09,770,3.5770424609e-11,2.30131691679e-09,3.40498788087e-09
61,4.7975139361e-09,780,2.87976912156e-11,1.91399240935e-09,2.85472383553e-09
62,4.02441600757e-09,790,2.36043813474e-11,1.62004146474e-09,2.38077016148e-09
63,3.65078657126e-09,800,2.09046589348e-11,1.48099233728e-09,2.14888957505e-09
64,3.54689415813e-09,810,1.95921741506e-11,1.43218178485e-09,2.09512019913e-09
65,3.3272547992e-09,820,1.77681896143e-11,1.3396711843e-09,1.96981542529e-09
66,3.00468381092e-09,830,1.60944347156e-11,1.25114611747e-09,1.73744325874e-09
67,2.82061865138e-09,840,1.48041339597e-11,1.18613520485e-09,1.61967931257e-09
68,2.38930346404e-09,850,1.17356891755e-11,9.68777449506e-10,1.40879032536e-09
69,2.32404556148e-09,860,1.11275139864e-11,9.46077586848e-10,1.36684046064e-09
70,2.56802471617e-09,870,1.20779094191e-11,1.05727017969e-09,1.49867662706e-09
71,2.40292894754e-09,880,1.03814701914e-11,9.35350692504e-10,1.45719678484e-09
72,2.01170775457e-09,890,8.36991669099e-12,7.75920406044e-10,1.22741743183e-09
73,1.58635093523e-09,900,6.58686493799e-12,6.28083512074e-10,9.51680558216e-10
74,1.3118767712e-09,910,5.21791138718e-12,5.11614838737e-10,7.9504402108e-10
75,1.21170087592e-09,920,4.5928910982e-12,4.62922740794e-10,7.4418524403e-10
76,1.21294152535e-09,930,4.60249684096e-12,4.76719347922e-10,7.31619680586e-10
77,1.29816161076e-09,940,4.83543855966e-12,5.14547871116e-10,7.78778301081e-10
78,1.29280482548e-09,950,4.70835782048e-12,5.14584145483e-10,7.73512322178e-10
